TaskID,DelierableID,Type,shell,subgroup,Output,Analysis Set,Title1,Title2,Title3,Title4,Title5,Title6,Title7,Footnote1,Footnote2,Footnote3,Footnote4,Footnote5,Footnote6,Footnote7,Footnote8,Footnote9
101,200,SDTM,,,DM,,Demographics,,,,,,,,,,,,,,,
102,201,ADAM,,,ADSL,,Analysis Data Subject Level,,,,,,,,,,,,,,,
103,202,SDTM,,,AE,,Adverse Events,,,,,,,,,,,,,,,
104,203,ADAM,,,ADAE,,Analysis of Adverse Events,,,,,,,,,,,,,,,
105,204,SDTM,,,LB,,Laboratory Tests,,,,,,,,,,,,,,,
106,205,ADAM,,,ADLB,,Analysis of Laboratory Data,,,,,,,,,,,,,,,
107,206,SDTM,,,VS,,Vital Signs,,,,,,,,,,,,,,,
108,207,ADAM,,,ADVS,,Analysis of Vital Signs Data,,,,,,,,,,,,,,,
109,208,SDTM,,,EX,,Exposure,,,,,,,,,,,,,,,
110,209,SDTM,,,CM,,Concomitant Medications,,,,,,,,,,,,,,,
111,210,ADAM,,,ADCM,,Concomitant Medications Analysis,,,,,,,,,,,,,,,
112,211,SDTM,,,MH,,Medical History,,,,,,,,,,,,,,,
113,212,ADAM,,,ADMH,,Medical History Analysis,,,,,,,,,,,,,,,
114,213,SDTM,,,EG,,ECG Test Results,,,,,,,,,,,,,,,
115,214,ADAM,,,ADEG,,ECG Test Results Analysis,,,,,,,,,,,,,,,
116,215,SDTM,,,CE,,Clinical Events,,,,,,,,,,,,,,,
117,216,ADAM,,,ADCE,,Clinical Event Analyses,,,,,,,,,,,,,,,
118,217,SDTM,,,FA,,Findings About,,,,,,,,,,,,,,,
119,218,SDTM,,,DS,,Disposition,,,,,,,,,,,,,,,
