Section,Output Number,Shell Template,Subgroup (from programming),Output File Name (from programming),Program Name (from programming),Analysis Set,Title,Footnote,Notes
Enrollment,14.1.1,T_SCREENFAIL,,t_14-1-1_scrnfail_all,t_scrnfail_all,<Analysis Set>,Screen Failure Reasons,Screen failure reasons at final screening are summarized.,
Enrollment,14.1.1.1,T_ENROLL_BYREGIONCOUNTRYSITE,,t_14-1-1-1_enrol_site_itt,t_enrol_site_itt,<Analysis Set>,Study Enrollment,,
Enrollment,14.1.1.3,T_ENROLL_BYREGIONCOUNTRYSITE,amd,t_14-1-1-3_enrol_site_amd_itt,t_enrol_site_amd_itt,<Analysis Set>,"Study Enrollment by Region, Country, and Protocol Version",,
Protocol Deviations,14.1.2.x,T_PROTDEV,,t_14-1-2-x_protdev_,t_protdev_,<Analysis Set>,Important Protocol Deviation (IPD),,
Disposition,14.1.3.1.x,T_DISP,,t_14-1-3-1-x_disp_,t_disp_,<Analysis Set>,Participant Disposition,The denominator of percentages is number of participants <randomized>.,
Disposition,14.1.3.2.x,T_DISPTRT,,t_14-1-3-2-x_disptrt_,t_disptrt_,<Analysis Set>,Reasons for Participants Treatment Discontinuation - <Treatment component>,,
Analysis sets,14.1.3.3,T_ANASET,,t_14-1-3-3_anaset_,t_anaset_,,Summary of Analysis Sets,ADA: anti-drug antibody; ITT: intent-to-treat; PK: Pharmacokinetic,
"Demographics, Baseline Characteristics, Medical History, Cancer History",14.1.4.x,T_DEMOG,,t_14-1-4-x_demog_,t_demog_,<Analysis Set>,Baseline Demographic,Q1: the 25th percentile; Q3: the 75th percentile.,
"Demographics, Baseline Characteristics, Medical History, Cancer History",14.1.4.x,T_BASE,,t_14-1-4-x_base_,t_base_,<Analysis Set>,Baseline Clinical Characteristics,CRF: Case Report Form; Q1: the 25th percentile; Q3: the 75th percentile.\^{super 1}Body mass index(BMI)=(weight in kg) / [(height in meters)^2)].,
" Demographics, Baseline Characteristics, Medical History, Cancer History",14.1.4.x,T_STRAT,,t_14-1-4-x_strat_,t_strat_,<Analysis Set>,Stratification Factors by IRT,IRT: Interactive Response Technology.,
"Demographics, Baseline Characteristics, Medical History, Cancer History",14.1.4.x,T_CONCORDANCERAND,,t_14-1-4-x_concordancerand_,t_concordancerand_,<Analysis Set>,Stratification Factors Concordance/Discordance Based on IRT and CRF,IRT: Interactive Response Technology; CRF: Case Report Form. \All percentages calculated using N for the corresponding treatment group as denominator.,
"Demographics, Baseline Characteristics, Medical History, Cancer History",14.1.4.x,T_MH,,t_14-1-4-x_mh_,t_mh_,<Analysis Set>,Medical History,Note: N: number of participants; n: number of participants with event.\MedDRA version: xx.x.\The verbatim terms are used when events are not coded.,
Baseline Medications and Treatments,14.1.5.x,T_PRIOR_NPACT,,t_14-1-5-x_prior_npact_,t_prior_npact_,<Analysis Set>,Prior <Systemic> Anti-Cancer Therapy,ATC: Anatomical Therapeutic Chemical; WHO: World Health Organization\Note: WHODrug X.X used for coding. \Q1: the 25th percentile; Q3: the 75th percentile.,
