Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments,,,,,,,,,,,,,,,,,,
ADAESI,STUDYID,Study Identifier,Char,20,$20.,,Predecessor,ADSL.STUDYID,,,,,,,,,,,,,,,,,,,,
ADAESI,USUBJID,Unique Subject Identifier,Char,16,$16.,,Predecessor,ADSL.USUBJID,,,,,,,,,,,,,,,,,,,,
,ADSL_CORE,ADSL core variables are carried through all ADaM Datasets. See Core Variable column on the ADSL specs for variables kept on all ADaM datasets,,,,,,,,,,,,,,,,,,,,,,,,,,
ADAESI,ASEQ,Analysis Sequence Number,Num,8,best20.,,Derived,"After sorting dataset by the KEYS, set to 1 for the first record per subject, then incremented by 1 for each subsequent record.",,,,,,,,,,,,,,,,,,,,
ADAESI,AESEQ,Sequence Number,Num,8,best20.,,Predecessor,ADAE.AESEQ,,,,,,,,,,,,,,,,,,,,
ADAESI,AESPID,Sponsor-Defined Identifier,Char,3,$3.,,Predecessor,ADAE.AESPID,,,,,,,,,,,,,,,,,,,,
ADAESI,ACAT1,Analysis Category 1,Char,17,$17.,,Derived,"Adverse events of special interest (AESIs) for Nivolumab, Relatlimab, and XL092 are given in a Sponsor-provided datasets (raw.aesiniv_current, raw.aesirel_current, and raw.aesi_current).
A given AEDECOD may belong to more than one AESI term of interest (i.e. a given AEDECOD may appear in multiple rows in the AESI term list, pertaining to separate AESI terms).

ADAE dataset is merged onto the lists of sponsor-provided AESI terms. If upcase(ADAE.AEDECOD) is present on a list, a copy of that ADAE record is output for each AESI term to which it matches. For example, if three separate AESI terms are present for a given AEDECOD in the AESI term lists, and a subject has one ADAE record with that AEDECOD, then three copies of that ADAE record are created in ADAESI dataset, one for each of the AESI terms given on the lists.

Any ADAE record matched to the Nivolumab AESI term list carries ACAT1 = 'Nivolumab AESI'.
Any ADAE record matched to the Relatlimab AESI term list carries ACAT1 = 'Relatlimab AESI'.
Any ADAE record matched to the XL092 AESI term list carries ACAT1 = 'XL092 AESI'.

Only records matched to an AESI term, and records with PREFL missing (AESIs that are not prior to treatment start) are kept in ADAESI. ","02/14/2025 Need to check if this study is using sponsor-provided datasets or use SMQ dictionary as the terms are provided in the SAP. If first, update dataset name we receive from sponsor",,,,,,,,,,,,,,,,,,,
ADAESI,AETERM,Reported Term for the Adverse Event,Char,200,$200.,,Predecessor,ADAE.AETERM,,,,,,,,,,,,,,,,,,,,
ADAESI,AEDECOD,Dictionary-Derived Term,Char,200,$200.,MedDRA,Predecessor,ADAE.AEDECOD,,,,,,,,,,,,,,,,,,,,
ADAESI,AEBODSYS,Body System or Organ Class,Char,200,$200.,MedDRA,Predecessor,ADAE.AEBODSYS,,,,,,,,,,,,,,,,,,,,
ADAESI,CQ01NAM,Customized Query 01 Name,Char,200,$200.,,Assigned,"If ACAT1 = 'Nivolumab AESI' then CQ01NAM is set to IMMNAM from the sponsor-provided list of Nivolumab AESI terms.
If ACAT1 = 'Relatlimab AESI' then CQ01NAM is set to IMMNAM from the sponsor-provided list of Avelumab AESI terms.
If ACAT1 = 'XL092 AESI' then CQ01NAM is set to QUERY_NAME from the sponsor-provided list of XL092 AESI terms.",02/14/2025 Need to Confirm,,,,,,,,,,,,,,,,,,,
ADAESI,GROUPID,AESI Episode ID,Num,8,best20.,,Derived,"Identifies unique episodes of a given AESI.

Considering records with a common CQ01NAM, records are sorted chronologically by start and end dates.
GROUPID is set to 1 on the chronologically first AESI record (where ADAESI.AOCC01FL = 'Y') within a CQ01NAM.
If the next ADAESI record with that same CQ01NAM has a start date that is sequential with or overlaps with the first record ({ASTDT of the second record} <= {AENDT of the first record+1}) then GROUPID is retained on the second record.
If AENDT is missing due to AEENRTPT = 'ONGOING', then all subsequent records in that CQ01NAM are considered overlapping.
If the second ADAESI record in that CQ01NAM has a start date that does NOT overlap with the first record, then GROUPID is incremented by 1.
This process is continues for each record within the CQ01NAM, grouping overlapping records together, with a common GROUPID value.
Note: If the first AE has an end date which is after the end date of the second overlapping AE, then the first AE's end date is used for determining if the AE overlaps with the third AE.",,,,,,,,,,,,,,,,,,,,
ADAESI,AESTDTC,Start Date/Time of Adverse Event ,Char,10,$10.,,Predecessor,ADAE.AESTDTC,,,,,,,,,,,,,,,,,,,,
ADAESI,ASTDT,Analysis Start Date,Num,8,date9.,,Derived,ADAE.ASTDT,,,,,,,,,,,,,,,,,,,,
ADAESI,ASTDTF,Analysis Start Date Imputation Flag,Char,1,$1.,DATEFL,Assigned,ADAE.ASTDTF,,,,,,,,,,,,,,,,,,,,
ADAESI,ASTDY,Analysis Start Relative Day,Num,8,best20.,,Derived,ADAE.ASTDY,,,,,,,,,,,,,,,,,,,,
ADAESI,AEENDTC,End Date/Time of Adverse Event,Char,10,$10.,,Predecessor,ADAE.AEENDTC,,,,,,,,,,,,,,,,,,,,
ADAESI,AENDT,Analysis End Date,Num,8,date9.,,Derived,ADAE.AENDT,,,,,,,,,,,,,,,,,,,,
ADAESI,AENDY,Analysis End Relative Day,Num,8,best20.,,Derived,ADAE.AENDY,,,,,,,,,,,,,,,,,,,,
ADAESI,AEENRTPT,End Relative to Reference Time Point,Char,20,$20.,ENTPT,Predecessor,ADAE.AEENRTPT,,,,,,,,,,,,,,,,,,,,
ADAESI,PREFL,Pre-treatment Flag,Char,1,$1.,Y,Derived,ADAE.PREFL,,,,,,,,,,,,,,,,,,,,
