Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments
ADCM,STUDYID,Study Identifier,Char,20,$20.,,Predecessor,ADSL.STUDYID,,
ADCM,USUBJID,Unique Subject Identifier,Char,16,$16.,,Predecessor,ADSL.USUBJID,,
,ADSL_CORE,ADSL core variables are carried through all ADaM Datasets. See Core Variable column on the ADSL specs for variables kept on all ADaM datasets,,,,,,,,
ADCM,ASEQ,Analysis Sequence Number,Num,8,best20.,,Derived,"After sorting dataset by the KEYS, set to 1 for the first record per subject, then incremented by 1 for each subsequent record.",,
ADCM,CMSEQ,Sequence Number,Num,8,best20.,,Predecessor,CM.CMSEQ,,
ADCM,CMSPID,Sponsor-Defined Identifier,Char,16,$16.,,Predecessor,CM.CMSPID,,
ADCM,CMCAT,Category for Medication,Char,50,$50.,CMCAT,Predecessor,CM.CMCAT,,
ADCM,ACAT1,Analysis Category 1,Char,10,$10.,CMACAT,Assigned,"Abbreviated form of CMCAT to simplify programming and data checks.
If CM.CMCAT = 'PRIOR AND CONCOMITANT MEDICATIONS' then set to 'Con Med';
if CMCAT = 'HISTORY OF ANTI-CANCER THERAPIES' then set to 'Prior ACT';
if CMCAT = 'CONCOMITANT AND SUBSEQUENT ANTI-CANCER THERAPIES' then set to 'Subq ACT';",,
ADCM,CMSCAT,Subcategory for Medication,Char,8,$8.,CMSCAT,Predecessor,CM.CMSCAT,,
ADCM,CMTRT,"Reported Name of Drug, Med, or Therapy",Char,200,$200.,,Predecessor,CM.CMTRT,,
ADCM,CMDECOD,Standardized Medication Name,Char,200,$200.,WHODrug,Predecessor,CM.CMDECOD,,
ADCM,CMSTDTC,Start Date/Time of Medication,Char,19,$19.,,Predecessor,CM.CMSTDTC,,
ADCM,CMSTDY,Study Day of Start of Medication,Num,8,best20.,,Predecessor,CM.CMSTDY,,
ADCM,ASTDT,Analysis Start Date,Num,8,date9.,,Derived,"Calculated as CM.CMSTDTC as a SAS numeric date variable.
If CM.CMSTDTC is a partial date then imputed according to CM.CMCAT.
If CMCAT in ('PRIOR AND CONCOMITANT MEDICATIONS', 'HISTORY OF ANTI-CANCER THERAPIES') then imputed as follows:
• If CMSTDTC is completely missing: not imputed.
• If CMSTDTC has only year populated, then set to January 1st.
• If CMSTDTC has year and month only, then set day to 1st day of month.

If CMCAT = 'CONCOMITANT AND SUBSEQUENT ANTI-CANCER THERAPIES' then imputed as follows:
 • If CMSTDTC is completely missing, set to date of decision to discontinue treatment (ADSL.EOTDCDT) + 1.

• If CMSTDTC has only year populated, then:
-  if year(CMSTDTC) > year(ADSL.EOTDCDT) then set to January 1st.
-  if year(CMSTDTC) = year(ADSL.EOTDCDT) then set to date of decision to discontinue treatment (ADSL.EOTDCDT) + 1.

• If CMSTDTC has year and month only, then:
-  if year(CMSTDTC) and month(CMSTDTC) are the same as year(ADSL.EOTDCDT) and month(ADSL.EOTDCDT) then set to date of decision to discontinue treatment (ADSL.EOTDCDT) + 1.
-  Otherwise, set to the first day of the month.","Imputation rules will need review/confirmation/updating based on SAP.

Updates to imputation rules for Subsequent Anti-Cancer therapy will require updates to ADSL variables as well.",
ADCM,ASTDTF,Analysis Start Date Imputation Flag,Char,1,$1.,DATEFL,Assigned,"Based on ADCM.ASTDT imputation. Set to:
Y if entire date is imputed or year is imputed
M if month and day are imputed
D if ony day is imputed.
Null if ASTDT is null or if CM.CMSTDTC is a complete date.",,
ADCM,ASTDY,Analysis Start Relative Day,Num,8,best20.,,Derived,"If ACAT1 in(""Prior ACT"", ""Subq ACT"") derive based on STAGE:
If ADSL.STAGE=""EXPANSION"":
If ADCM.ASTDT < ADSL.RANDDT then calculated as: ASTDT-RANDDT
Otherwise, calculated as: ASTDT-RANDDT+1.
If ADSL.STAGE=""ESCALATION"":
If ADCM.ASTDT < ADSL.TRTSDT then calculated as: ASTDT-TRTSDT
Otherwise, calculated as: ASTDT-TRTSDT+1.
If ACAT=""Con Med"" then:
If ADCM.ASTDT < ADSL.TRTSDT then calculated as: ASTDT-TRTSDT
Otherwise, calculated as: ASTDT-TRTSDT+1.",,
ADCM,CMENDTC,End Date/Time of Medication,Char,19,$19.,,Predecessor,CM.CMENDTC,,
ADCM,CMENDY,Study Day of End of Medication,Num,8,best20.,,Predecessor,CM.CMENDY,,
