Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments
ADEFFINT,STUDYID,Study Identifier,Char,20,$20.,,Predecessor,ADSL.STUDYID,,
ADEFFINT,USUBJID,Unique Subject Identifier,Char,16,$16.,,Predecessor,ADSL.USUBJID,,
,ADSL_CORE,ADSL core variables are carried through all ADaM Datasets. See Core Variable column on the ADSL specs for variables kept on all ADaM datasets,,,,,,,,
ADEFFINT,DTHUNFDT,"Date of Death, Unfiltered",Num,8,date9.,,Derived,ADSL.DTHUNFDT,,
ADEFFINT,ASEQ,Analysis Sequence Number,Num,8,best20.,,Derived,"After sorting dataset by the KEYS, set to 1 for the first record per subject, then incremented by 1 for each subsequent record.",,
ADEFFINT,SRCDOM,Source Data,Char,8,$8.,SRCDEFF,Assigned,"Set to the name of the data set that is the source of ADT/AVAL.
See VLM for details.",,
ADEFFINT,SRCVAR,Source Variable,Char,8,$8.,SRCVEFF,Assigned,Refer to VLM for assignments,,
ADEFFINT,SRCSEQ,Source Sequence Number,Num,8,best20.,,Assigned,"If the source of ADT/AVAL comes from SDTM, set to xxSEQ from the source data.
If the source of ADT/AVAL comes from non-ADSL ADaM, then set to ASEQ from the source dataset.
Null if SRCDOM = 'ADSL'.",,
ADEFFINT,ADT,Analysis Date,Num,8,date9.,,Assigned,See VLM for assignments.,,
ADEFFINT,ADTF,Analysis Date Imputation Flag,Char,1,$1.,DATEFL,Assigned,"If the source date for ADT is imputed (carries an imputation flag) then ADTF is set to the value of the source imputation flag.
See VLM details for ADT for specifics.",,
ADEFFINT,ADY,Analysis Relative Day,Num,8,best20.,,Derived,"Where ADSL.STAGE=EXPANSION:
If ADT < ADSL.RANDDT then calculated as (ADT - RANDDT). 
If ADT >= ADSL.RANDDT then calculated as (ADT - RANDDT + 1).
Null if ADSL.RANDDT is null.

Where ADSL.STAGE=ESCALATION:
If ADT < ADSL.TRTSDT then calculated as (ADT - TRTSDT). 
If ADT >= ADSL.TRTSDT then calculated as (ADT - TRTSDT + 1).
Null if ADSL.TRTSDT is null.",,
ADEFFINT,PARAMN,Parameter (N),Num,8,best20.,PARINT_N,Assigned,"Assigned based on PARAMCD, as per the codelist",,
ADEFFINT,PARAMCD,Parameter Code,Char,8,$8.,PARINT,Assigned,"Assigned as per VLM.
A record for the specified parameter is created if the date exists/conditions specified in the VLM tab are met.",,
ADEFFINT,PARAM,Parameter,Char,100,$100.,PARINT_C,Assigned,"Assigned as the decoded version of PARAMCD, as per the codelist",,
ADEFFINT,AVALC,Analysis Value (C),Char,200,$200.,Y,Assigned,"Set to ADT in character format, formatted in DDMMMYYYY format except PARAMCD in ('PSAP' and 'PSAR'). For PARAMCD in ('PSAP' and 'PSAR'), see VLM for assignments.",,
