Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments
ADEX,STUDYID,Study Identifier,Char,20,$20.,,Predecessor,ADSL.STUDYID,,
ADEX,USUBJID,Unique Subject Identifier,Char,16,$16.,,Predecessor,ADSL.USUBJID,,
,ADSL_CORE,ADSL core variables are carried through all ADaM Datasets. See Core Variable column on the ADSL specs for variables kept on all ADaM datasets,,,,,,,,
ADEX,ASEQ,Analysis Sequence Number,Num,8,best20.,,Derived,"After sorting dataset by the KEYS, set to 1 for the first record per subject, then incremented by 1 for each subsequent record.",,
ADEX,ECSEQ,Sequence Number,Num,8,best20.,,Predecessor,"From EC domain where ECMOOD = 'PERFORMED', set to EC.ECSEQ from the selected records.",,
ADEX,ECLNKID,Link ID,Char,20,$20.,,Predecessor,EC.ECLNKID,,
ADEX,ECTRT,Name of Treatment,Char,200,$200.,ECTRT,Predecessor,EC.ECTRT,,
ADEX,PARAM,Parameter ,Char,40,$40.,PAREX_C,Assigned,Set to 'Total Daily Dose (mg)'.,,
ADEX,PARAMCD,Parameter Code,Char,8,$8.,PAREX,Assigned,Set to 'TDDOSE'.,,
ADEX,ECSTDTC,Start Date/Time of Treatment,Char,19,$19.,,Predecessor,EC.ECSTDTC,,
ADEX,ASTDT,Analysis Start Date,Num,8,date9.,,Derived,"If EC.ECSTDTC is a complete date, set to date-part of EC.ECSTDTC as a SAS date variable. Note: Dates for ECTRT in  ('Nivolumab', 'Ipilimumab', 'Relatlimab/Nivolumab FDC') are expected to  be complete dates, since infusions are given in the hospital. Do not impute partial dates where ECTRT in  ('Nivolumab', 'Ipilimumab', 'Relatlimab/Nivolumab FDC'). Instead, file a data issue.

In the event of partial dates for oral medications (ECTRT = ""XL092""), sort records in EC domain by: year(ECSTDTC), year(ECENDTC), month(ECSTDTC), month(ECENDTC), day(ECSTDTC), day(ECENDTC). For the purposes of sorting, if month and/or year is missing from ECSTDTC and is non-missing from ECENDTC, or vice versa, use the opposite date component in the sort (e.g. if month of ECENDTC is missing and month of ECSTDTC is non-missing, use month of ECSTDTC in place of month(ECENDTC) for sorting). If day-part of either date is missing and is non-missing from the other, and the month-parts of the dates are the same, then use the opposite day-part in the sort. If the month-parts differ, set day-part of ECSTDTC (for sort only) to the 1st of the month if missing. Set day-part of ECENDTC (for sort only) to the last day of the month if missing. 

After sorting, impute partial ECSTDTC values as follows:
(1) Define ""previous dosing milestone” as the latest of (a) the chronologically previous end date (ADEX.AENDT) or (b) the date of first dose (ADSL.TRTSDT).
Note: only perform the below imputation (steps 2-4) if (a) this is the chronologically first record in EC domain or if the previous end date is a complete date. Otherwise, proceed to step 5.
(2) If date is completely missing: set to date of ""previous dosing milestone” (as defined in 1) + 1 day
(3) If ECSTDTC has only year: set to the later of: (January 1st,""previous dosing milestone” + 1 day)
(4) If ECSTDTC is missing only day: set to the later of: (1st day of the month, ""previous dosing milestone” + 1 day)
(5) If the start date of the current record is partial and the end date of the previous record is partial, then follow imputation rules as laid out in AENDT derivation.",,
ADEX,ASTTM,Analysis Start Time,Num,8,time5.,,Derived,"Time-part of EC.ECSTDTC, if available.

If SUPPEC.QVAL where QNAM = 'ECSTTX' is non-missing, and the given record is the chronologically first record, and ECSTDTC is missing time-part, then set ADEX.ASTTM to (SUPPEC.QVAL where QNAM = 'ECSTTX') as a SAS numeric time variable.",,
ADEX,ASTDTF,Analysis Start Date Imputation Flag,Char,1,$1.,DATEFL,Assigned,"Assigned based on level of imputation.
""D"" = day was imputed.
""M"" = imputed month and day.
""Y"" = imputed full date.",,
ADEX,ASTDY,Analysis Start Relative Day,Num,8,best20.,,Derived,Calculated as (ASTDT - TRTSDT) + 1.,,
ADEX,ECENDTC,End Date/Time of Treatment ,Char,16,$16.,,Predecessor,EC.ECENDTC,,
ADEX,AENDT,Analysis End Date,Num,8,date9.,,Derived,"Date part of EC.ECENDTC as a SAS numeric date. Note: Dates for ECTRT in  ('Nivolumab', 'Ipilimumab', 'Relatlimab/Nivolumab FDC') are expected to  be complete dates. Do not impute partial dates where ECTRT in  ('Nivolumab', 'Ipilimumab', 'Relatlimab/Nivolumab FDC'). Instead, file a data issue.

In the event of partial dates, sort records in EC domain as described in ASTDT derivation. 
After sorting, impute partial ECENDTC values as follows:
(1) Define the ""next sequential dosing milestone"" as the chronologically next ECSTDTC date in EC domain for the given treatment, date of decision to stop treatment from EOT CRF (ADSL.EOXDCDT or ADSL.EORDCDT, based on ECTRT value) or the cutoff date (ADSL.CUTDT). Note: only proceed with the below imputation steps (2-4) if this is the chronologically last record in the EC domain or the chronologically next ECSTDTC is a complete date. If the next ECSTDTC is partial, skip to step (5).
(2) If ECENDTC is completely missing: set to date of ""next sequential dosing milestone” - 1.
(3) If year is present but month/day are missing: set to the earlier of (December 31st, {""next sequential dosing milestone"" - 1}).
(4) If only day is missing: set to the earlier of (last day of the month, {""next sequential dosing milestone"" - 1}).
(5) If the end date of the current record is partial and the start date of the subsequent record is partial, then imputation of AENDT and ASTDT will proceed together. See Complex Algorithms tab for details.",,
ADEX,AENTM,Analysis End Time,Num,8,time5.,,Derived,"Time-part of EC.ECENDTC, if available.",,
ADEX,AENDTF,Analysis End Date Imputation Flag,Char,1,$1.,DATEFL,Assigned,"Assigned based on level of imputation.
""D"" = day was imputed.
""M"" = imputed month and day.
""Y"" = imputed full date.",,
ADEX,AENDY,Analysis End Relative Day,Num ,8 ,best20.,,Derived,Calculate as (AENDT - TRTSDT) + 1.,,
ADEX,ECOCCUR,Occurrence,Char,1,$1.,NY,Predecessor,EC.ECOCCUR,,
ADEX,ECDOSE,Dose,Num,8,best20.,,Predecessor,EC.ECDOSE,,
ADEX,ECDOSU,Dose Units,Char,20,$20.,ECDOSU,Predecessor,EC.ECDOSU,,
ADEX,ECDOSFRM,Dose Form,Char,50,$50.,ECDOSFRM,Predecessor,EC.ECDOSFRM,,
ADEX,ECDOSFRQ,Dosing Frequency per Interval,Char,3,$3.,ECDOSFRQ,Predecessor,EC.ECDOSFRQ,,
ADEX,ECROUTE,Route of Administration,Char,50,$50.,,Predecessor,EC.ECROUTE,,
