Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments,
ADLB,STUDYID,Study Identifier,Char,20,$20.,,Predecessor,ADSL.STUDYID,,,
ADLB,USUBJID,Unique Subject Identifier,Char,16,$16.,,Predecessor,ADSL.USUBJID,,,
,ADSL_CORE,ADSL core variables are carried through all ADaM Datasets. See Core Variable column on the ADSL specs for variables kept on all ADaM datasets,,,,,,,,,
ADLB,ASEQ,Analysis Sequence Number,Num,8,best20.,,Derived,"After sorting dataset by the KEYS, set to 1 for the first record per subject, then incremented by 1 for each subsequent record.",,,
ADLB,LBSEQ,Source Sequence Number,Num,8,best20.,,Predecessor,LB.LBSEQ,,,
ADLB,LBCAT,Category for Lab Test,Char,200,$200.,LBP1CAT,Predecessor,LB.LBCAT,,,
ADLB,LBNAM,Vendor Name,Char,200,$200.,,Predecessor,LB.LBNAM,,,
ADLB,LBTESTCD,Lab Test or Examination Short Name,Char,200,$200.,,Predecessor,LB.LBTESTCD,,,
ADLB,LBTEST,Lab Test or Examination Name,Char,200,$200.,,Predecessor,LB.LBTEST,,,
ADLB,LBSPEC,Specimen Type,Char,200,$200.,LBSPEC,Predecessor,LB.LBSPEC,,,
ADLB,LBORRES,Result or Finding in Original Units,Char,200,$200.,,Predecessor,LB.LBORRES,,,
ADLB,LBORRESU,Original Units,Char,200,$200.,,Predecessor,LB.LBORRESU,,,
ADLB,LBORNRLO,Reference Range Lower Limit in Orig Unit,Char,200,$200.,,Predecessor,LB.LBORNRLO,,,
ADLB,LBORNRHI,Reference Range Upper Limit in Orig Unit,Char,200,$200.,,Predecessor,LB.LBORNRHI,,,
ADLB,LBSTRESC,Character Result/Finding in Std Format,Char,200,$200.,,Predecessor,LB.LBSTRESC,,,
ADLB,LBSTRESN,Numeric Result/Finding in Standard Units,Num,8,best20.,,Predecessor,LB.LBSTRESN,,,
