Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments,,,
ADPC,STUDYID,Study Identifier,Char,20,$20.,,Predecessor,ADSL.STUDYID,,,,,
ADPC,USUBJID,Unique Subject Identifier,Char,16,$16.,,Predecessor,ADSL.USUBJID,,,,,
,ADSL_CORE,ADSL core variables are carried through all ADaM Datasets. See Core Variable column on the ADSL specs for variables kept on all ADaM datasets,,,,,,,,,,,
ADPC,PCSEQ,Sequence Number,Num,8,best20.,,Predecessor,PC.PCSEQ,,,,,
ADPC,PCREFID,Reference ID,Char,50,$50.,,Predecessor,PC.PCREFID,,,,,
ADPC,PCSTRESC,Character Result / Finding in Std. Format,Char,200,$200.,,Predecessor,PC.PCSTRESC,,,,,
ADPC,PCSTRESN,Numeric Result/Finding in Std. Units,Num,8,best20.,,Predecessor,PC.PCSTRESN,,,,,
ADPC,PCSTRESU,Standard Units,Char,25,$25.,PKUNIT,Predecessor,PC.PCSTRESU,,,,,
ADPC,PCNAM,Vendor Name,Char,50,$50.,,Predecessor,PC.PCNAM,,,,,
ADPC,PCSTAT,Completion Status,Char,50,$50.,ND,Predecessor,PC.PCSTAT,,,,,
ADPC,PCSPEC,Specimen Material Type,Char,50,$50.,SPECTYPE,Predecessor,PC.PCSPEC,,,,,
ADPC,PCSPCCND,Specimen Condition,Char,200,$200.,SPECCOND,Predecessor,PC.PCSPCCND,,,,,
ADPC,PCLLOQ,Lower Limit of Quantitation,Num,8,best20.,,Predecessor,PC.PCLLOQ,,,,,
ADPC,PCDTC,Date/Time of Specimen Collection,Char,19,$19.,ISO 8601,Predecessor,PC.PCDTC,,,,,
ADPC,PCDY,Actual Study Day of Specimen Collection,Num,8,best20.,DY,Predecessor,PC.PCDY,,,,,
