Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments
ADPR,STUDYID,Study Identifier,Char,20,$20.,,Predecessor,ADSL.STUDYID,,
ADPR,USUBJID,Unique Subject Identifier,Char,16,$16.,,Predecessor,ADSL.USUBJID,,
,ADSL_CORE,ADSL core variables are carried through all ADaM Datasets. See Core Variable column on the ADSL specs for variables kept on all ADaM datasets,,,,,,,,
ADPR,ASEQ,Analysis Sequence Number,Num,8,best20.,,Derived,"After sorting dataset by the KEYS, set to 1 for the first record per subject, then incremented by 1 for each subsequent record.",,
ADPR,PRSEQ,Sequence Number,Num,8,best20.,,Predecessor,PR.PRSEQ,,
ADPR,PRSPID,Sponsor-Defined Identifier,Char,2,$2.,,Predecessor,PR.PRSPID,,
ADPR,ACAT1,Analysis Category 1,Char,20,$20.,Assigned,,"Abbreviated form of PRCAT to simplify programming and data checks.
If PR.PRCAT in ('CONCOMITANT AND SUBSEQUENT LOCAL RADIATION THERAPY', 'HISTORY OF LOCAL RADIATION THERAPY') then set to 'Radiation Therapy';
If PRCAT in ('CONCOMITANT/SUBSEQUENT SURGERY AND PROCS', 'HISTORY OF SURGERIES AND PROCEDURES') then set to 'Surgery/Procedures'
If PRCAT = 'IMAGING DETAILS' then ACAT1 = 'Imaging Details'; 
If PRCAT = 'PRIOR AND CONCOMITANT TRANSFUSIONS' then ACAT1= 'Transfusion'.

",,"ML 2/8/25: For ACAT1 specs is not consitent with data. Please update to:                                                                                   if prcat in ('CONCOMITANT AND SUBSEQUENT LOCAL RADIATION THERAPY', 'HISTORY OF LOCAL RADIATION THERAPY') then ACAT1= 'Radiation Therapy';                                                                                             if prcat in ('CONCOMITANT/SUBSEQUENT SURGERY AND PROCS', 'HISTORY OF SURGERIES AND PROCEDURES') then ACAT1=  'Surgery/Procedures'.      "
ADPR,PRCAT,Category,Char,50,$50.,PRCAT,Predecessor,PR.PRCAT,,
ADPR,PRTRT,Reported Name of Procedure,Char,200,$200.,,Predecessor,PR.PRTRT,,
ADPR,ATRT,Analysis Name of Procedure,Char,200,$200.,,Derived,"If PRTRT starts with the text 'EBRT', then set to ""EBRT"";
If PRTRT = 'BRACHYTHERAPY' then set to ""Internal Radiation Therapy (Brachytherapy)"";
If PRTRT = 'RADIOEMBOLIZATION' then set to ""Radioembolization"";
If PRTRT starts with the text ""OTHER"" then set to ""Other"";
Otherwise, set to PRTRT.",,
