Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Core Variable,Notes,XL Comments,,,,,,,,,,
ADSL,STUDYID,Study Identifier,Char,20,$20.,,Predecessor,DM.STUDYID,Y,,,,,,,,,,,,
ADSL,USUBJID,Unique Subject Identifier,Char,16,$16.,,Predecessor,DM.USUBJID,Y,,,,,,,,,,,,
ADSL,SUBJID,Subject Identifier for the Study,Char,8,$8.,,Predecessor,DM.SUBJID,Y,,,,,,,,,,,,
ADSL,SITEID,Study Site Identifier,Char,4,$4.,,Predecessor,DM.SITEID,,,,,,,,,,,,,
ADSL,COUNTRY,Country,Char,3,$3.,COUNTRY,Predecessor,DM.COUNTRY,,,,,,,,,,,,,
ADSL,CNTRYGR1,Pooled Country Group 1,Char,40,$40.,CNTRYGR1,,"Set to 'NORTH AMERICA (CANADA/USA)' if COUNTRY in (USA, CAN)
Set to 'ASIA (EXCLUDING JAPAN)' if COUNTRY in (PRC HKG MYS PHL THA VNM KOR TWN SGP IND)
Set to 'EUROPE/AUSTRALIA/NEW ZEALAND' if COUNTRY in (BEL ROU FRA IRL ITA NLD POL ESP TUR GBR DEU AUS NZL AUT BGR BLR CHE CZE DNK FIN GRC HUN LTU SVK SWE)
Otherwise Set to 'OTHER'
Note: Only populate if ADSL.COUNTRY is populated",,,,,,,,,,,,,
ADSL,REGION1,Geographic Region 1,Char,40,$40.,REGION1,,"Set based on ADSL.CNTRYGR1 and ADSL.COUNTRY:
'NORTH AMERICA' if COUNTRY in (USA, CAN)
'EUROPE' if if COUNTRY in (BEL ROU FRA IRL ITA NLD POL ESP TUR GBR DEU AUT CHE CZE HUN GRC UKR RUS PRT GEO ISR)
'ASIA PACIFIC' if COUNTRY in (HKG PHL THA KOR TWN SGP CHN JPN AUS NZL )
'LATIN AMERICA'  if COUNTRY in (ARG BRA CHL MEX) 
'MISSING"" if COUNTRY is missing
Else set as 'OTHER' 

Note: Only populate if ADSL.COUNTRY is populated",,,,,,,,,,,,,
ADSL,PROTVS,Protocol Version Subject Enrolled,Char,40,$40.,PROTVERS,Derived,"Set to SUPPDM.QVAL where QNAM = 'PVTYP' concatenated with SUPPDM.QVAL where QNAM = 'PVNO' in proper-case.
Include a space between the two QVAL values.",,,,,,,,,,,,,
ADSL,AGE,Age,Num,8,best20.,,Predecessor,DM.AGE,,,,,,,,,,,,,
ADSL,AGEU,Age Units,Char,5,$5.,AGEU,Predecessor,DM.AGEU,,,,,,,,,,,,,
ADSL,AGEGR1,Pooled Age Group 1,Char,10,$10.,AGEGR1,Assigned,"Assign according to AGE:
""< 65""
"">= 65""
Null if AGE is missing.",,,,,,,,,,,,,
ADSL,AGEGR2,Pooled Age Group 2,Char,10,$10.,AGEGR2,Assigned,"Assign according to AGE:
""< 75""
"">= 75""
Null if AGE is missing.",,,,,,,,,,,,,
ADSL,AGEGR3,Pooled Age Group 3,Char,10,$10.,AGEGR3,Assigned,"Assign according to AGE:
""< 65""
""65 to < 75""
""75 to < 85""
"">= 85""
Null if AGE is missing.",,,,,,,,,,,,,
ADSL,SEX,Sex,Char,4,$4.,SEX,Predecessor,DM.SEX,,,,,,,,,,,,,
ADSL,RACE,Race,Char,50,$50.,RACE,Predecessor,DM.RACE,,,,,,,,,,,,,
ADSL,RACEOTH,"Race, Other Specify",Char,200,$200.,,Predecessor,SUPPDM.QVAL where QNAM='RACEOTH',,,,,,,,,,,,,
ADSL,RACEMULT,"Race, Multiple",Char,200,$200.,,Derived,"Take the decoded value (see RACE Codelist) of SUPPDM.QVAL where QNAM=RACE1-RACE7. Concatenate decoded values together with a semicolon and space between (e.g.  ""White; Asian"")",,,,,,,,,,,,,
ADSL,ARACE,Analysis Race,Char,200,$200.,,Derived,"If RACE not 'MULTIPLE' or 'OTHER', set to the decoded value of RACE. 
If RACE = 'MULTIPLE' then set to RACEMULT.
If RACE = 'OTHER' or RACEMULT contains 'OTHER' then RACEMULT is the concatenation of RACEOTH in proper-case to the text ""Other"", separated by a colon and space. ",,,,,,,,,,,,,
ADSL,ETHNIC,Ethnicity,Char,40,$40.,ETHNIC,Predecessor,DM.ETHNIC,,,,,,,,,,,,,
ADSL,SCREENFL,Screened Population Flag,Char,1,$1.,NY,Derived,"Flags subjects who signed the informed consent.
If DM.RFICDTC not missing, then set to 'Y'. 
Otherwise, set to 'N'.",,,,,,,,,,,,,
ADSL,ITTFL,Intent-To-Treat Population Flag,Char,1,$1.,NY,Derived,"Flags subjects who are randomized.
If ADSL.RANDDT is non-missing, set to 'Y'; 
Otherwise, set to 'N'.",Y,,,,,,,,,,,,
ADSL,SCRNFFL,Screen failure flag,Char,1,$1.,Y,Derived,"Flags subjects who are screen failed.
If DM.ARMNRS=""SCREEN FAILURE"", set to 'Y'; 
Otherwise, null.",Y,,,,,,,,,,,,
ADSL,SAFFL,Safety Population Flag,Char,1,$1.,NY,Derived,"Flags subjects who received any non-zero dose of study treatment.
If the subject has a record in EX domain where EXDOSE > 0 or EXDOSTXT not in (0, missing), then set to 'Y'.
Otherwise, set to 'N'.",Y,,,,,,,,,,,,
ADSL,EVALFL,Efficacy Evaluable Population Flag,Char,1,$1.,NY,Derived,"If ADSL.SAFFL='Y' and ADSL.STAGE='EXPANSION' then set to 'Y'.
Otherwise, set to 'N'.",Y,,,,,,,,,,,,
ADSL,ARM,Description of Planned Arm,Char,100,$100.,ARMCD_C,Predecessor,DM.ARM,,,,,,,,,,,,,
ADSL,ARMCD,Planned Arm Code,Char,28,$28.,ARMCD,Predecessor,DM.ARMCD,,,,,,,,,,,,,
ADSL,ACTARM,Description of Actual Arm,Char,100,$100.,ARMCD_C,Predecessor,DM.ACTARM,,,,,,,,,,,,,
ADSL,STAGE,Study Stage,Char,20,$20.,STAGE,Predecessor,SUPPDM.QVAL where SUPPDM.QNAM=STAGE,Y,,,,,,,,,,,,
ADSL,COHORT,Cohort Description,Char,200,$200.,COHORT_C,Predecessor,Decoded value of SUPPDM.QVAL where SUPPDM.QNAM=SCOHORT ,Y,MS 4/26/2023: COHORT codelist updated for output display,,,,,,,,,,,
ADSL,COHORTN,Cohort Description (N),Num,8,best20.,COHORT_N,Predecessor,"From ADSL.COHORT, assigned as per codelist.",,,,,,,,,,,,,
