Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments
ADTR,STUDYID,Study Identifier,Char,20,$20.,,Predecessor,ADSL.STUDYID,,
ADTR,USUBJID,Unique Subject Identifier,Char,16,$16.,,Predecessor,ADSL.USUBJID,,
,ADSL_CORE,ADSL core variables are carried through all ADaM Datasets. See Core Variable column on the ADSL specs for variables kept on all ADaM datasets,,,,,,,,
ADTR,ASEQ,Analysis Sequence Number,Num,8,best20.,,Derived,"After sorting dataset by the KEYS, set to 1 for the first record per subject, then incremented by 1 for each subsequent record.",,
ADTR,TRSEQ,Sequence Number,Num,8,best20.,,Predecessor,TR.TRSEQ. Null for PARAMCD = 'SUMDIV'.,,
ADTR,TRCAT,Category,Char,10,$10.,,Predecessor,TR.TRCAT. Carried forward onto PARAMCD = 'SUMDIV' from records used to create the record.,,
ADTR,TRTESTCD,Lab Test or Examination Short Name,Char,8,$8.,,Predecessor,TR.TRTESTCD. Null for PARAMCD = 'SUMDIV'.,,
ADTR,TRTEST,Tumor/Lesion Assessment Test Name,Char,50,$50.,,Predecessor,TR.TRTEST. Null for PARAMCD = 'SUMDIV'.,,
ADTR,TRSTRESC,Character Result/Finding in Std Format,Char,200,$200.,,Predecessor,TR.TRSTRESC. Null for PARAMCD = 'SUMDIV'.,"Note: Lesions that are ""too small to measure"" have TRORRES/TRSTRESC/TRSTRESN set to 5 at the SDTM level.",
ADTR,TRSTRESN,Numeric Result/Finding in Standard Units,Num,8,best20.,,Predecessor,TR.TRSTRESN. Null for PARAMCD = 'SUMDIV'.,,
ADTR,TRSTRESU,Standard Units,Char,20,$20.,,Predecessor,TR.TRSTRESU. Null for PARAMCD = 'SUMDIV'.,,
ADTR,TRSTAT,Completion Status,Char,8,$8.,,Predecessor,TR.TRSTAT. Null for PARAMCD = 'SUMDIV'.,,
ADTR,TRGRPID,Group ID,Char,10,$10.,,Predecessor,TR.TRGRPID. Null for PARAMCD = 'SUMDIV'.,,
ADTR,TRLNKID,Link ID,Char,10,$10.,,Predecessor,TR.TRLNKID. Null for PARAMCD = 'SUMDIV'.,,
ADTR,TRLOC,Location of the Tumor/Lesion,Char,200,$200.,,Predecessor,SUPPTR.QVAL where QNAM=TLLOC. Null for PARAMCD = 'SUMDIV'.,,
ADTR,TLLOC,Tumor/Lesion Location Details,Char,200,$200.,,Predecessor,SUPPTR.QVAL where QNAM=TLLOC. Null for PARAMCD = 'SUMDIV'.,MS: Awaiting SDTM,ML 12/12/24: We do not have QNAM= 'TRLOCDTL' in SUPPTR. Can you update accordingly?
ADTR,TLRES,Target Lesion Status,Char,200,$200.,,Predecessor,SUPPTR.QVAL where QNAM='TLRES. Null for PARAMCD = 'SUMDIV'.,MS: Awaiting SDTM,ML 12/12/24: We need to update SDTM specs to map TLCDB.TLRES to SUPPTR.TLRES.
ADTR,VISITNUM,Visit Number,Num,8,best20.,,Predecessor,TR.VISITNUM. Carried forward onto PARAMCD = 'SUMDIV' from records used to create the record.,,
ADTR,VISIT,Visit Name,Char,75,$75.,,Predecessor,TR.VISIT. Carried forward onto PARAMCD = 'SUMDIV' from records used to create the record.,,
ADTR,TRDTC,Date/Time of Tumor/Lesion Measurement,Char,19,$19.,,Predecessor,"TR.TRDTC.  Null for PARAMCD = 'SUMDIV', as TRDTC could differ among records used in the calculation.",,
ADTR,TRDY,Study Day of Tumor/Lesion Measurement,Num,8,best20.,,Predecessor,"TR.TRDY.  Null for PARAMCD = 'SUMDIV', as TRDY could differ among records used in the calculation.",,
ADTR,TREVAL,Evaluator,Char,50,$50.,TEVAL,Predecessor,TR.TREVAL. Carried forward onto PARAMCD = 'SUMDIV' from records used to create the record.,,
ADTR,TREVALID,Evaluator Identifier,Char,20,$20.,,Predecessor,TR.TREVALID. Carried forward onto PARAMCD = 'SUMDIV' from records used to create the record.,,
ADTR,PARCAT1,Parameter Category 1,Char,12,$12.,TUP1CAT,Assigned,"Set to TR.TRCAT.
Carried forward onto PARAMCD = 'SUMDIV' from records used to create the record.",,
ADTR,PARCAT2,Parameter Category 2,Char,50,$50.,TEVAL,Assigned,"Set to TR.TREVAL.
Carried forward onto PARAMCD = 'SUMDIV' from records used to create the record.",,
ADTR,PARAMN,Parameter (N),Num,8,best20.,PARTR_N,Assigned,"Assigned based on PARAMCD, as per the codelist",,
ADTR,PARAMCD,Parameter Code,Char,8,$8.,PARTR,Assigned,Assign as per VLM.,,
ADTR,PARAM,Parameter,Char,100,$100.,PARTR_C,Assigned,"Assigned as the decoded version of PARAMCD, as per the codelist",,
ADTR,AVISITN,Analysis Visit (N),Num,8,best20.,,Assigned,"Equivalent to TR.VISITNUM. For derived parameters, carried forward from source records.",,
ADTR,AVISIT,Analysis Visit,Char,75,$75.,,Assigned,"Set to TR.VISIT in proper-case. For derived parameters, carried forward from source records.",,
ADTR,ADT,Analysis Date,Num,8,date9.,,Derived,"Within a given PARAMCD and VISIT, the chronologically earliest TRDTC is identified. ADT is set to the numeric form of that earliest TRDTC, as a SAS numeric date.",,
ADTR,ADY,Analysis Relative Day,Num,8,best20.,,Derived,"Where ADSL.STAGE=EXPANSION:
If ADT < ADSL.RANDDT then calculated as (ADT - RANDDT). 
If ADT >= ADSL.RANDDT then calculated as (ADT - RANDDT + 1).
Null if ADSL.RANDDT is null.

Where ADSL.STAGE=ESCALATION:
If ADT < ADSL.TRTSDT then calculated as (ADT - TRTSDT). 
If ADT >= ADSL.TRTSDT then calculated as (ADT - TRTSDT + 1).
Null if ADSL.TRTSDT is null.",,ML 12/12/24: How is this handled for Escalation cohorts which are not randomized? We should use TRTSDT for such subjects.
ADTR,AVAL,Analysis Value,Num,8,best20.,,Derived,See VLM for details.,,
ADTR,AVALC,Analysis Value (C),Char,200,$200.,,Assigned,"Populated only for TR.TRTESTCD = 'TUMSTATE' or ""SUMDIAM""
Set to TR.TRSTRESC.",,
ADTR,ABLFL,Baseline Record Flag,Char,1,$1.,Y,Derived,"Populated only for PARAMCD =""SUMDIR"" and ""SUMDIV"".   
Where ADSL.STAGE=EXPANSION:
Set to ""Y"" on the last non-missing value prior to randomization (ADSL.RANDDT). 

If ADT = RANDDT, assume the assessment was performed prior to randomization and is eligible for selection

Where ADSL.STAGE=ESCALATION:
Set to ""Y"" on the last non-missing value prior to treatment start (ADSL.TRTSDT). 

If ADT = TRTSDT, assume the assessment was performed prior to treatment start and is eligible for selection

Note for PARAMCD='SUMDIR' only count records where ACEPTFL=Y",,ML 12/12/24: For Escalation subjects use TRTSDT and for randomized subjects use RANDDT. This update should be made across all efficacy ADaMs.
ADTR,PSBLFL,Post-Baseline Record Flag,Char,1,$1.,Y,Derived,"Populated only for PARAMCD =""SUMDIR"" and ""SUMDIV"".   

Where ADSL.STAGE=EXPANSION:
Set to 'Y' on any record determined to have occurred after randomization (ADT > RANDDT).

Where ADSL.STAGE=ESCALATION:
Set to 'Y' on any record determined to have occurred after treatment start (ADT > TRTSDT).",,
ADTR,BASE,Baseline Value,Num,8,best20.,,Derived,"Populated only for PARAMCD =""SUMDIR"" and ""SUMDIV"".   

if TREVAL=INDEPENDENT ASSESSOR then set to numeric SUPPTR.QVAL where QNAM=TORRESR and corresponding SUPPTR.QVAL where QNAM=TREFTYP=""BASELINE""  when combining onto the PARAMCD='SUMDIR' record within a subject, VISIT, TREVALID, TRCAT

If TREVAL=INVESTIGATOR then do:
Set to ADTR.AVAL from the record where ADTR.ABLFL = 'Y' within a given PARAMCD. 
Populated on all records (regardless of timing relative to baseline)",,
ADTR,CHG,Change from Baseline,Num,8,best20.,,Derived,"Populated only for PARAMCD =""SUMDIR"" and ""SUMDIV"".   

If TREVAL=INDEPENDENT ASSESSOR then set to TR.TRSTRESN where TR.TRTESTCD=""CHGBL"" and populate for corresponding TPARAMCD=SUMDIR within a subject, VISIT, TREVALID, TRCAT

If TREVAL=INVESTIGATOR then do:
Calculate as: AVAL - BASE.
Only populated on post-baseline records (where ADTR.PSBLFL = 'Y').",,
