Data Set,Variable,Label,Type,Length,Format,Codelist Name,Origin,Derivation / Comments / Predecessor,Notes,XL Comments,
ADVS,STUDYID,Study Identifier,Char,20,$20.,,Predecessor,ADSL.STUDYID,,,
ADVS,USUBJID,Unique Subject Identifier,Char,16,$16.,,Predecessor,ADSL.USUBJID,,,
,ADSL_CORE,ADSL core variables are carried through all ADaM Datasets. See Core Variable column on the ADSL specs for variables kept on all ADaM datasets,,,,,,,,,
ADVS,ASEQ,Analysis Sequence Number,Num,8,best20.,,Derived,"After sorting dataset by the KEYS, set to 1 for the first record per subject, then incremented by 1 for each subsequent record.",,,
ADVS,VSSEQ,Source Sequence Number,Num,8,best20.,,Predecessor,VS.VSSEQ,,,
ADVS,VSTESTCD,Vital SignsTest Short Name,Char,8,$8.,,Predecessor,VS.VSTESTCD,,,
ADVS,VSTEST,Vital Signs Test Name,Char,50,$50.,,Predecessor,VS.VSTEST,,,
ADVS,VSSTRESC,Character Result/Finding in Std Format,Char,200,$200.,,Predecessor,VS.VSSTRESC,,,
ADVS,VSSTRESN,Numeric Result/Finding in Standard Units,Num,8,best20.,,Predecessor,VS.VSSTRESN,,,
ADVS,VSSTRESU,Standard Units,Char,20,$20.,,Predecessor,VS.VSSTRESU,,,
ADVS,VISITNUM,Visit Number,Num,8,best20.,,Predecessor,VS.VISITNUM,,,
ADVS,VISIT,Visit Name,Char,75,$75.,,Predecessor,VS.VISIT,,,
ADVS,VSDTC,Date/Time of Measurements,Char,19,$19.,,Predecessor,VS.VSDTC,,,
ADVS,VSDY,Study Day of Vital Signs,Num,8,best20.,,Predecessor,VS.VSDY,,,
ADVS,VSTPT,Planned Time Point Name,Char,75,$75.,,Predecessor,VS.VSTPT,,,
ADVS,VSTPTNUM,Planned Time Point Number,Num,8,best20.,,Predecessor,VS.VSTPTNUM,,,
ADVS,VSCLSIG,"Clinically Significant, Collected",Char,20,$20.,,Predecessor,VS.VSCLSIG,,,
ADVS,ADT,Analysis Date,Num,8,date9.,,Derived,Set to numeric version of date part of VS.VSDTC. No imputation.,,,
ADVS,ATM,Analysis Time,Num,8,time5.,,Derived,Set to numeric version of time part of VS.VSDTC. No imputation.,,,
ADVS,ADY,Analysis Relative Day,Num,8,best20.,,Derived,"Set to ADT-TRTSDT+1 if ADT >= TRTSDT and both date variables are non-missing,
else set to ADT-TRTSDT if ADT < TRTSDT and both date variables are non-missing.
Null if ADSL.TRTSDT is null.",,,
ADVS,AVISIT,Analysis Visit,Char,75,$75.,,Assigned,"For records copied directly from VS domain, set to VS.VISIT in proper-case.",,,
ADVS,AVISITN,Analysis Visit (N),Num,8,best20.,,Assigned,"For records copied directly from VS domain, set to VS.VISITNUM",,,
ADVS,ATPT,Analysis Timepoint,Char,75,$75.,,Assigned,Set to VS.VSTPT,,,
