Dataset,Variable,Where Clause,Description,Type,Codelist,Origin,Derivation / Comments / Predecessor,Column1,XL Comments,
ADBASE,AVALC,PARAMCD EQ BONEDXYN,Bone-Only Disease ,text,NY,Predecessor,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'BONEDXYN'.
If no such record in CD domain, or if CDSTRESC is null, left missing.
",,"ML 3/30/2023: Please update the codelist/where clause as per SDTM.CD for 092-002
MS 4/17/2023: Updated",
ADBASE,AVALC,PARAMCD EQ BRMYN   ,Brain\cranial Metastases Present? ,text,NY,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'BRMYN'.
If no such record in CD domain, or if CDSTRESC is null, left missing.
",,,
ADBASE,AVALC,PARAMCD EQ CDHSFYN ,Sarcomatoid Feature ,text,NY,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'CDHSFYN'.
If no such record in CD domain, or if CDSTRESC is null, left missing.
",,,
ADBASE,AVALC,PARAMCD EQ CDHSFP,Percentage of Sarcomatoid Feature ,text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'CDHSFP'.
If no such record in CD domain, or if CDSTRESC is null, left missing.
",,,
ADBASE,AVALC,PARAMCD EQ CHDTC   ,Date/Time of Initial Diagnosis ,text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'CHDTC'.
If no such record in CD domain, or if CDSTRESC is null, left missing.
If CDSTRESC is a partial date, impute ADT as follows:

If only day is missing: set to 15th of the month.  
If day and month are missing: set to July 1st.  
If either imputation rule above results in a diagnosis date > 
informed consent: set diagnosis date to the date of informed 
consent (ADSL.RFICDT) - 1.  
",,,
ADBASE,AVALC,PARAMCD EQ HISTSP  ,"Histology Other, Specify ",text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'HISTSP'.
If no such record, or if CDSTRESC is null, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ HISTTYPC,Histology Type ,text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'HISTTYPC'.
If no such record, or if CDSTRESC is null, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ IMDCPSC ,IMDC Prognostic Score ,text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'IMDCPSC'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ LDRPDDTC,Date of Recurrence/Progression ,text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'LDRPDDTC'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ MCRPCDTC,Date/Time of Diagnosis of MCRPC ,text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'MCRPCDTC'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ PACYN   ,Diagnosed with Prostate Adenocarcinoma ,text,NY,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'PACYN'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ PDL1YN   ,Previous Immune Checkpoint Inhibitor,text,NY,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'PDL1YN'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ PRGLSC  ,Primary Gleason Score at Diagnosis ,text,,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'PRGLSC'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVAL,PARAMCD EQ PRGLSC  ,Primary Gleason Score at Diagnosis ,integer,,Assigned,"Set to missing if CDSTRESC where CDTESTCD = 'PRGLSC' is null or 'UNKNOWN'
else set to numeric CDSTRESC",,,
ADBASE,AVALC,PARAMCD EQ PSAPDYN ,PSA Progression at Screening ,text,NY,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'PSAPDYN'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
ADBASE,AVALC,PARAMCD EQ RNLPRYN ,Nephrectomy Performed ,text,NY,Assigned,"A record is created for every subject in ADSL where ADSL.SAFFL = 'Y'.
AVALC set to CD.CDSTRESC where CDTESTCD = 'RNLPRYN'.
If no such record, or if CDSTRESC is null then, then left missing.",,,
