ID,Name,NCI Codelist Code,Data_Type,Term,NCI Term Code,Decoded_Value,Numeric_Value,Order,Notes,XL Comments
AREL,Analysis Causality,,text,RELATED,,,,,,
AREL,Analysis Causality,,text,NOT RELATED,,,,,,
AEREL,AE Causality,,text,Multiple,,,,1,,
AEOUT,Outcome of Adverse Event,C66768,text,FATAL,C48275,,,1,,
AEOUT,Outcome of Adverse Event,C66768,text,NOT RECOVERED/NOT RESOLVED,C49494,,,2,,
AEOUT,Outcome of Adverse Event,C66768,text,RECOVERED/RESOLVED,C49498,,,3,,
AEOUT,Outcome of Adverse Event,C66768,text,RECOVERED/RESOLVED WITH SEQUELAE,C49495,,,4,,
AEOUT,Outcome of Adverse Event,C66768,text,RECOVERING/RESOLVING,C49496,,,5,,
AEOUT,Outcome of Adverse Event,C66768,text,UNKNOWN,C17998,,,6,,
AETOXGR,AETOXGR,,text,1,,Grade 1,1,1,,
AETOXGR,AETOXGR,,text,2,,Grade 2,2,2,,
AETOXGR,AETOXGR,,text,3,,Grade 3,3,3,,
AETOXGR,AETOXGR,,text,4,,Grade 4,4,4,,
AETOXGR,AETOXGR,,text,5,,Grade 5,5,5,,
AETRTGV1,Treatment Given 1,,text,NO TREATMENT GIVEN,,,,1,,
AETRTGV2,Treatment Given 2,,text,MEDICATION,,,,1,,
AETRTGV3,Treatment Given 3,,text,SURGERY/PROCEDURE,,,,1,,
AETRTGV4,Treatment Given 4,,text,RADIATION,,,,1,,
AETRTGV5,Treatment Given 5,,text,TRANSFUSION,,,,1,,
AETRTGV6,Treatment Given 6,,text,OTHER TREATMENT,,,,1,,
ADURU,Analysis Duration Unit,C71620,text,DAYS,C25301,,,1,,
AGEGR1,Age Grouping 1,,text,< 65,,,1,1,,
AGEGR1,Age Grouping 1,,text,>= 65,,,2,2,,
AGEGR2,Age Grouping 2,,text,< 75,,,1,1,,
AGEGR2,Age Grouping 2,,text,>= 75,,,2,2,,
AGEGR3,Age Grouping 3,,text,< 65,,,1,1,,
AGEGR3,Age Grouping 3,,text,65 to < 75,,,2,2,,
AGEGR3,Age Grouping 3,,text,75 to < 85,,,3,3,,
AGEGR3,Age Grouping 3,,text,>= 85,,,4,4,,
AGEU,Age Unit,C66781,text,YEARS,C29848,,,,,
COHORT,Cohort,,text,ESC A: SOLID TUMOR XL092 100+NIVO360,,ESC A: SOLID TUMOR XL092 100+NIVO360,1,1,,
COHORT,Cohort,,text,ESC B: SOLID TUMOR XL092 40+NIVO3+IPI1,,ESC B: SOLID TUMOR XL092 40+NIVO3+IPI1,2,2,,
COHORT,Cohort,,text,ESC B: SOLID TUMOR XL092 60+NIVO3+IPI1,,ESC B: SOLID TUMOR XL092 60+NIVO3+IPI1,3,3,,
COHORT,Cohort,,text,ESC B: SOLID TUMOR XL092 80+NIVO3+IPI1,,ESC B: SOLID TUMOR XL092 80+NIVO3+IPI1,4,4,,
COHORT,Cohort,,text,ESC D: SOLID TUMOR XL092 60+NIVO480+RELAT480,,ESC D: SOLID TUMOR XL092 60+NIVO480+RELAT480,5,5,,
COHORT,Cohort,,text,ESC D: SOLID TUMOR XL092 100+NIVO480+RELAT480,,ESC D: SOLID TUMOR XL092 100+NIVO480+RELAT480,6,6,,
COHORT,Cohort,,text,EXP 1: CCRCC 1L XL092 100+NIVO480,,EXP 1: ccRCC1L XL092 100 mg + Nivo 480 mg,11,7,,
COHORT,Cohort,,text,EXP 1: CCRCC 1L XL092 100+NIVO480+RELAT480,,EXP 1: ccRCC1L XL092 100 mg + Nivo/Rela FDC,12,8,,
COHORT,Cohort,,text,EXP 2: CCRCC 2L XL092 100,,EXP 2: ccRCC2L XL092 100 mg,21,9,,
COHORT,Cohort,,text,EXP 2: CCRCC 2L XL092 100+NIVO480,,EXP 2: ccRCC2L XL092 100 mg + Nivo 480 mg,22,10,,
COHORT,Cohort,,text,EXP 3: MCRPC XL092 100,,EXP 3: mCRPC XL092 100 mg,31,11,,
COHORT,Cohort,,text,EXP 3: MCRPC XL092 100+NIVO480,,EXP 3: mCRPC XL092 100 mg + Nivo 480 mg,32,12,,
COHORT,Cohort,,text,EXP 6: NCCRCC 1L XL092 100,,EXP 6: nccRCC (1L) XL092 100 mg,61,13,,
COHORT,Cohort,,text,EXP 6: NCCRCC 1L XL092 100+NIVO480,,EXP 6: nccRCC (1L) XL092 100 mg + Nivo 480 mg,62,14,,
COHORT,Cohort,,text,EXP 7: HCC 1L XL092 100+NIVO480,,EXP 7: HCC (1L) XL092 100 mg + Nivo 480 mg,71,15,,
COHORT,Cohort,,text,EXP 7: HCC 1L XL092 100+NIVO480+RELAT480,,EXP 7: HCC (1L) XL092 100 mg + Nivo/Rela FDC,72,16,,
COHORT,Cohort,,text,EXP 10: MSS CRC 2L XL092 100+NIVO480,,"EXP 10: CRC (MSS, 2L+) XL092 100 mg + Nivo 480 mg",101,17,,
COHORT,Cohort,,text,EXP 10: MSS CRC 2L XL092 100+NIVO480+RELAT480,,"EXP 10: CRC (MSS, 2L+) XL092 100 mg + Nivo/Rela FDC",102,18,,
COHORT,Cohort,,text,EXP 11: HNSCC ICI NAIVE XL092 100+NIVO480,,EXP 11: HNSCC (ICI naive) XL092 100 mg + Nivo 480 mg,110,19,,
COHORT,Cohort,,text,EXP 12: CCRCC 2L/3L XL092 60,,EXP 12: ccRCC (2-3L) XL092 60 mg,120,20,,
COHORT,Cohort,,text,EXP 12: CCRCC 2L/3L XL092 100,,EXP 12: ccRCC (2-3L) XL092 100 mg,121,21,,
COHORT,Cohort,,text,EXP 13: CCRCC 1L XL092 60+NIVO480,,EXP 13: ccRCC (1L) XL092 60 mg + Nivo 480 mg,130,22,,
COHORT,Cohort,,text,EXP 13: CCRCC 1L XL092 100+NIVO480,,EXP 13: ccRCC (1L) XL092 100 mg + Nivo 480 mg,131,23,,
CSTAGE,Current Disease Stage,,text,STAGE I,,,,1,,
CSTAGE,Current Disease Stage,,text,STAGE II,,,,2,,
CSTAGE,Current Disease Stage,,text,STAGE III,,,,3,,
CSTAGE,Current Disease Stage,,text,STAGE IV,,,,4,,
CSTAGE,Current Disease Stage,,text,STAGE IVA,,,,5,,
CSTAGE,Current Disease Stage,,text,STAGE IVB,,,,6,,
CSTAGE,Current Disease Stage,,text,STAGE IVC,,,,7,,
CSTGCAT,Disease Stage Categories,,text,Stage I,,,1,2,,
CSTGCAT,Disease Stage Categories,,text,Stage II,,,2,3,,
